N50,contrast,sum,image
0,0.36103842,205582400.0,rs930101n00
0,0.26712686,172895470.0,rs930201n00
0,0.18371478,155639820.0,rs930202n00
0,0.27694315,161760350.0,rs930203n00
0,0.5349698,168879820.0,rs930204n00
0,0.56881243,166154850.0,rs930205n00
0,0.47270727,195474130.0,rs930206n00
0,0.47019628,254257760.0,rs930207n00
0,0.39844647,286784480.0,rs930208n00
0,0.24715017,230399940.0,rs930209n00
0,0.28171325,203152900.0,rs930210n00
0,0.2798359,212699800.0,rs930301n00
0,0.24707897,170245710.0,rs930302n00
0,0.18579234,137067840.0,rs930303n00
0,0.17706014,127804540.0,rs930304n00
0,0.20644328,135041250.0,rs930305n00
0,0.45421058,123781060.0,rs930306n00
0,0.40890914,127128590.0,rs930307n00
0,0.56956387,125478260.0,rs930308n00
0,0.686326,142935260.0,rs930309n00
0,0.46027005,200149060.0,rs930310n00
0,0.45004755,250605840.0,rs930311n00
0,0.5290247,402044350.0,rs930312n00
0,0.47522682,378321300.0,rs930313n00
0,0.34330928,315180380.0,rs930314n00
0,0.36239657,267823580.0,rs930315n00
0,0.297369,239933020.0,rs930316n00
0,0.44850907,186134240.0,rs930401n00
0,0.22138143,193724960.0,rs930402n00
0,0.24284549,171532860.0,rs930403n00
0,0.20351866,136410960.0,rs930404n00
0,0.14965877,116711760.0,rs930405n00
0,0.17079967,112963580.0,rs930406n00
0,0.1983031,117018296.0,rs930407n00
0,0.4549208,100937310.0,rs930408n00
0,0.3692568,117649176.0,rs930409n00
0,0.49338013,112079800.0,rs930410n00
0,0.6184432,152919870.0,rs930411n00
0,0.6232136,183580210.0,rs930412n00
4276,0.9970744,156228340.0,rs930413n00
3527,0.9944004,197364860.0,rs930414n00
0,0.48468512,323862370.0,rs930415n00
0,0.6295909,491014100.0,rs930416n00
0,0.6617812,752730600.0,rs930417n00
0,0.5850143,492967500.0,rs930418n00
0,0.53554523,316476580.0,rs930419n00
0,0.5762459,215254750.0,rs930420n00
0,0.728354,157857170.0,rs930421n00
0,0.41985527,162327540.0,rs930422n00
0,0.4534043,121199860.0,rs930501n00
0,0.45971712,153821400.0,rs930502n00
0,0.1974273,171019500.0,rs930503n00
0,0.18917057,164998370.0,rs930504n00
0,0.23810244,142348640.0,rs930505n00
